epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.6581,1.82782,3.74409,2.13141,0.12284,0.12613,0.06912,0.02817,2.08373,3.29482,2.58639,0.000365646,0.000365646,0.000365646
2,62.7095,1.79669,3.25243,2.10992,0.05228,0.1687,0.03437,0.01118,2.14081,3.86256,2.65738,0.000706834,0.000706834,0.000706834
3,93.9675,1.72033,3.08295,2.07611,0.2586,0.12551,0.05783,0.02354,2.13332,3.26333,2.55903,0.00101869,0.00101869,0.00101869
4,125.057,1.77188,3.05491,2.14702,0.07929,0.1569,0.07916,0.03106,2.15713,3.72341,2.85816,0.000979013,0.000979013,0.000979013
5,156.11,1.73999,2.98613,2.08742,0.07282,0.17604,0.07748,0.03045,2.18999,3.67914,2.64767,0.000935018,0.000935018,0.000935018
6,187.809,1.72584,2.86456,2.07496,0.27952,0.13189,0.10673,0.03875,2.02594,3.43863,2.62915,0.000891022,0.000891022,0.000891022
7,218.986,1.69617,2.86253,2.06155,0.13043,0.21746,0.12224,0.04606,2.07497,3.038,2.59542,0.000847026,0.000847026,0.000847026
8,250.062,1.67673,2.78428,2.01544,0.17965,0.21815,0.12087,0.04397,2.13744,2.96421,2.55952,0.000803031,0.000803031,0.000803031
9,281.155,1.61054,2.81958,1.97914,0.11818,0.27398,0.11824,0.04303,2.07398,2.93455,2.58444,0.000759035,0.000759035,0.000759035
10,313.102,1.65523,2.74191,2.01846,0.10539,0.19263,0.12325,0.04558,1.94435,2.99235,2.45644,0.00071504,0.00071504,0.00071504
11,344.554,1.63317,2.67696,2.013,0.14667,0.22009,0.1278,0.05347,1.97977,2.84797,2.47634,0.000671044,0.000671044,0.000671044
12,376.767,1.61617,2.58112,1.97959,0.13919,0.32499,0.1401,0.05562,1.97418,2.82396,2.5043,0.000627048,0.000627048,0.000627048
13,408.569,1.60881,2.5675,1.95753,0.20159,0.26586,0.16859,0.06626,1.96666,2.74466,2.41901,0.000583053,0.000583053,0.000583053
14,441.607,1.56151,2.51668,1.91932,0.16789,0.30613,0.18097,0.07346,1.99551,2.64228,2.44303,0.000539057,0.000539057,0.000539057
15,473.633,1.54795,2.51099,1.91288,0.17906,0.32912,0.17655,0.07237,1.92941,2.65986,2.39793,0.000495062,0.000495062,0.000495062
16,539.477,1.59353,2.57474,2.0759,0.17331,0.31123,0.14107,0.05881,1.92422,2.7844,2.39068,0.000451066,0.000451066,0.000451066
17,571.134,1.55013,2.47085,2.03925,0.18966,0.38407,0.16729,0.06885,1.86393,2.62213,2.31241,0.00040707,0.00040707,0.00040707
18,602.562,1.48724,2.35021,1.9766,0.19444,0.31808,0.19945,0.08306,1.87866,2.56994,2.34768,0.000363075,0.000363075,0.000363075
19,633.61,1.46611,2.35384,1.96356,0.22332,0.34634,0.22769,0.09082,1.93536,2.59331,2.3894,0.000319079,0.000319079,0.000319079
20,665.101,1.48751,2.32494,1.96827,0.24998,0.36386,0.22405,0.09962,1.86025,2.50925,2.31076,0.000275084,0.000275084,0.000275084
21,697.522,1.43542,2.28455,1.95202,0.24417,0.38113,0.22671,0.10198,1.83226,2.43268,2.29254,0.000231088,0.000231088,0.000231088
22,728.738,1.39502,2.18173,1.91062,0.20295,0.3728,0.21842,0.09995,1.82734,2.53952,2.30953,0.000187092,0.000187092,0.000187092
23,760.968,1.37421,2.1184,1.88306,0.23832,0.34412,0.24626,0.11207,1.83504,2.46264,2.31161,0.000143097,0.000143097,0.000143097
24,793.122,1.33727,2.12855,1.87155,0.22813,0.37769,0.2494,0.11414,1.86315,2.46566,2.32932,9.91012e-05,9.91012e-05,9.91012e-05
25,824.085,1.33254,2.12071,1.83155,0.26936,0.37189,0.25998,0.11846,1.86767,2.44504,2.32736,5.51056e-05,5.51056e-05,5.51056e-05
