epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,929.742,0.70671,1.57165,1.32623,0.82184,0.8356,0.89077,0.78146,0.51014,0.83315,1.27484,0.000333201,0.000333201,0.000333201
2,1845.73,0.66826,1.01715,1.28245,0.74143,0.82185,0.85495,0.75427,0.52193,0.83592,1.27999,0.000653337,0.000653337,0.000653337
3,2755.15,0.64457,0.95746,1.26002,0.82161,0.86119,0.88811,0.81371,0.41728,0.7138,1.15411,0.000960273,0.000960273,0.000960273
4,3661.05,0.60495,0.8741,1.22332,0.88095,0.89664,0.93915,0.86656,0.40289,0.55913,1.12992,0.0009406,0.0009406,0.0009406
5,4569.26,0.57688,0.81195,1.20415,0.9006,0.90247,0.94308,0.8888,0.34331,0.50358,1.07193,0.0009208,0.0009208,0.0009208
6,5477.57,0.56843,0.77035,1.19752,0.90712,0.92106,0.94945,0.8936,0.34991,0.47303,1.07726,0.000901,0.000901,0.000901
7,6385.04,0.54699,0.73637,1.17994,0.90405,0.93472,0.95505,0.91202,0.30661,0.42758,1.02611,0.0008812,0.0008812,0.0008812
8,7291.86,0.54356,0.70085,1.17995,0.90944,0.93345,0.95404,0.91442,0.29355,0.41901,1.01061,0.0008614,0.0008614,0.0008614
9,8199.16,0.53505,0.6841,1.17114,0.93331,0.94091,0.96234,0.92087,0.29319,0.37743,1.01679,0.0008416,0.0008416,0.0008416
10,9103.05,0.51978,0.65673,1.16196,0.9209,0.92748,0.95585,0.91845,0.28496,0.39581,0.99759,0.0008218,0.0008218,0.0008218
11,10006.7,0.5173,0.64011,1.16256,0.92931,0.94798,0.9681,0.92996,0.27307,0.34928,0.99255,0.000802,0.000802,0.000802
12,10910.7,0.50938,0.61704,1.15387,0.92688,0.9568,0.96739,0.92925,0.28155,0.34757,0.99857,0.0007822,0.0007822,0.0007822
13,11814.8,0.50759,0.60611,1.15261,0.92528,0.95038,0.96413,0.92986,0.2691,0.33774,0.97563,0.0007624,0.0007624,0.0007624
14,12721.6,0.50127,0.59915,1.15048,0.9154,0.95614,0.96668,0.93139,0.27577,0.33914,0.98858,0.0007426,0.0007426,0.0007426
15,13628.5,0.49703,0.58613,1.1489,0.92589,0.9661,0.97237,0.94362,0.25338,0.30069,0.97351,0.0007228,0.0007228,0.0007228
16,14535.4,0.49772,0.57414,1.14624,0.93779,0.95748,0.96963,0.9398,0.24224,0.30663,0.96017,0.000703,0.000703,0.000703
17,15442.2,0.48954,0.56407,1.13908,0.93425,0.96136,0.97031,0.94071,0.23949,0.2947,0.95035,0.0006832,0.0006832,0.0006832
18,16346.1,0.49074,0.56517,1.14061,0.9409,0.97003,0.97213,0.94178,0.23563,0.29972,0.95166,0.0006634,0.0006634,0.0006634
19,17252,0.48973,0.55533,1.14076,0.93433,0.96725,0.97302,0.94473,0.24253,0.2894,0.95303,0.0006436,0.0006436,0.0006436
20,18159.2,0.48439,0.5416,1.13664,0.95014,0.96765,0.96966,0.94368,0.23509,0.27091,0.94042,0.0006238,0.0006238,0.0006238
21,19073.3,0.47286,0.52642,1.12489,0.95627,0.95792,0.97275,0.9489,0.2331,0.27603,0.93535,0.000604,0.000604,0.000604
22,19979.5,0.46949,0.51652,1.1255,0.96007,0.9705,0.97524,0.94894,0.22557,0.2583,0.93659,0.0005842,0.0005842,0.0005842
23,20882.4,0.47592,0.50904,1.12868,0.94914,0.96009,0.97048,0.94604,0.22971,0.26623,0.9382,0.0005644,0.0005644,0.0005644
24,21784.7,0.46987,0.51132,1.12671,0.96101,0.97083,0.9748,0.95058,0.22511,0.25441,0.93566,0.0005446,0.0005446,0.0005446
25,22689.2,0.46953,0.50296,1.12472,0.95348,0.96893,0.97207,0.94931,0.22586,0.26157,0.92804,0.0005248,0.0005248,0.0005248
26,23595.1,0.46624,0.49514,1.122,0.9612,0.96942,0.9762,0.95282,0.22069,0.25137,0.92588,0.000505,0.000505,0.000505
27,24499.3,0.45928,0.48385,1.11723,0.96413,0.97081,0.97611,0.95295,0.22371,0.24988,0.9305,0.0004852,0.0004852,0.0004852
28,25406.2,0.45558,0.47762,1.1167,0.95767,0.97949,0.97326,0.94962,0.21568,0.23757,0.92274,0.0004654,0.0004654,0.0004654
29,26309.6,0.45271,0.46844,1.1116,0.96559,0.96798,0.97464,0.95067,0.21695,0.23467,0.92484,0.0004456,0.0004456,0.0004456
30,27213.3,0.45222,0.47304,1.11099,0.96361,0.97375,0.97478,0.9533,0.21053,0.22968,0.91405,0.0004258,0.0004258,0.0004258
